Facultad,Carrera,Día,H_Inicio,H_Salida,Año_Inicio,Año_Fin,Total Estudiantes,Proyecto,Entrada,Salida,Profesor
ICA,CIVIL,JUEVES,7,9,2020,2020,63,1,7,15,DOC_05
ICA,CIVIL,MIERCOLES,7,9,2020,2020,68,1,7,15,DOC_05
ICA,COMPUTACION,JUEVES,11,13,2020,2020,17,1,7,15,DOC_11
FILO,P INFORMATICA,VIERNES,8,10,2020,2020,6,1,7,15,DOC_11
ARQ,ARQUITECTURA,MARTES,7,9,2020,2020,19,1,7,15,DOC_12
ICA,S INFORMACION,VIERNES,7,9,2020,2020,71,1,7,15,DOC_12
CQ,QUIMICA,LUNES,9,11,2020,2021,61,1,7,15,DOC_02
FIGEMPA,PETROLEOS,MARTES,16,18,2020,2021,50,1,7,15,DOC_02
ICA,CIVIL,MARTES,7,9,2020,2021,44,1,7,15,DOC_02
ICA,C GRAFICA,JUEVES,9,11,2020,2021,9,1,7,15,DOC_05
ICA,CIVIL,VIERNES,18,20,2020,2021,58,1,7,15,DOC_05
FIGEMPA,GEOLOGIA,MARTES,16,18,2020,2021,58,1,7,15,DOC_05
ICA,CIVIL,LUNES,15,17,2020,2021,46,1,7,15,DOC_05
CQ,QUIMICA,JUEVES,8,10,2020,2021,56,1,7,15,DOC_05
CQ,QUIMICA,VIERNES,9,11,2020,2021,27,0,7,15,DOC_04
FILO,P MATEMATICA,JUEVES,10,12,2020,2021,33,0,7,15,DOC_04
ARQ,ARQUITECTURA,MARTES,9,11,2020,2021,44,0,7,15,DOC_04
ICA,INDUSTRIAL,VIERNES,11,13,2020,2021,42,0,7,15,DOC_04
FILO,P MATEMATICA,JUEVES,7,9,2020,2021,34,0,7,15,DOC_04
FILO,P MATEMATICA,MIERCOLES,7,9,2020,2021,49,0,7,15,DOC_04
FILO,MECATRONICA,VIERNES,7,9,2021,2021,45,1,7,15,DOC_12
ICA,COMPUTACION,MARTES,11,13,2020,2021,20,1,7,15,DOC_13
ICA,C GRAFICA,MARTES,11,13,2020,2021,8,1,7,15,DOC_13
CQ,BIO Y FAR,LUNES,9,11,2020,2021,58,1,7,15,DOC_13
IQ,I QUIMICA,MIERCOLES,11,13,2020,2021,41,1,7,15,DOC_13
ICA,CIVIL,LUNES,7,9,2020,2021,30,1,7,15,DOC_13
ICA,INDUSTRIAL,JUEVES,11,13,2020,2021,76,0,7,15,DOC_06
FIGEMPA,MINAS,LUNES,9,11,2020,2021,13,0,7,15,DOC_06
FILO,P MATEMATICA,MARTES,7,9,2020,2021,42,0,7,15,DOC_06
FILO,P MATEMATICA,MIERCOLES,7,9,2020,2021,40,0,7,15,DOC_06
FILO,MECATRONICA,VIERNES,9,11,2020,2021,46,0,7,15,DOC_06
ICA,CIVIL,JUEVES,7,9,2020,2021,45,1,7,15,DOC_13
ARQ,ARQUITECTURA,MARTES,7,9,2020,2021,46,1,7,15,DOC_13
FIGEMPA,PETROLEOS,VIERNES,7,9,2020,2021,17,1,7,15,DOC_13
FILO,P MATEMATICA,MIERCOLES,16,18,2020,2021,42,1,7,15,DOC_13
CIENCIAS,MATEMATICA,VIERNES,16,18,2020,2021,46,1,7,15,DOC_10
CQ,BIO Y FAR,MARTES,12,14,2020,2021,41,1,7,15,DOC_10
ICA,CIVIL,MARTES,15,17,2020,2021,49,1,7,15,DOC_10
ICA,CIVIL,MIERCOLES,15,17,2020,2021,48,1,7,15,DOC_10
ICA,CIVIL,MIERCOLES,18,20,2020,2021,45,1,7,15,DOC_10
FILO,P MATEMATICA,LUNES,16,18,2020,2021,36,0,12,20,DOC_07
FILO,MECATRONICA,MARTES,16,18,2020,2021,24,0,12,20,DOC_07
CQ,BIO Y FAR,MIERCOLES,14,16,2020,2021,60,0,12,20,DOC_07
FILO,P MATEMATICA,MIERCOLES,16,18,2020,2021,25,0,12,20,DOC_07
FIGEMPA,MINAS,VIERNES,14,16,2020,2021,30,0,12,20,DOC_07
CQ,BIO Y FAR,VIERNES,17,19,2020,2021,63,0,12,20,DOC_07
AGR,AGRONOMIA,MARTES,7,9,2020,2021,55,1,7,15,DOC_11
CQ,BIO Y FAR,JUEVES,13,15,2020,2021,58,1,7,15,DOC_11
ICA,CIVIL,VIERNES,11,13,2020,2021,45,1,7,15,DOC_11
CIENCIAS,MATEMATICA,MIERCOLES,12,14,2020,2021,64,1,7,15,DOC_11
CIENCIAS,MATEMATICA,VIERNES,13,15,2020,2021,43,1,7,15,DOC_12
AGR,AGRONOMIA,JUEVES,7,9,2020,2021,60,1,7,15,DOC_12
ICA,CIVIL,LUNES,9,11,2020,2021,45,1,7,15,DOC_12
CQ,BIO Y FAR,LUNES,9,11,2020,2021,22,1,7,15,DOC_12
FIGEMPA,AMBIENTAL,VIERNES,9,11,2020,2021,11,1,7,15,DOC_12
IQ,I QUIMICA,JUEVES,15,17,2020,2021,38,0,12,20,DOC_14
ICA,C GRAFICA,JUEVES,11,13,2020,2021,36,0,12,20,DOC_14
ICA,S INFORMACION,MARTES,18,20,2020,2021,79,0,12,20,DOC_14
ICA,CIVIL,JUEVES,11,13,2020,2021,46,1,7,15,DOC_11
CQ,BIO Y FAR,JUEVES,13,15,2020,2021,59,1,7,15,DOC_11
ICA,CIVIL,MIERCOLES,7,9,2020,2021,22,1,7,15,DOC_11
ARQ,ARQUITECTURA,VIERNES,7,9,2020,2021,46,1,7,15,DOC_11
ICA,COMPUTACION,VIERNES,11,13,2020,2021,50,1,7,15,DOC_11
AGR,AGRONOMIA,MIERCOLES,7,9,2020,2021,67,1,7,15,DOC_13
CQ,QUIMICA,MIERCOLES,9,11,2020,2021,44,1,7,15,DOC_13
CQ,BIO Y FAR,VIERNES,7,9,2020,2021,53,1,7,15,DOC_13
CQ,BIO Y FAR,LUNES,9,11,2021,2021,70,1,7,15,DOC_13
ICA,COMPUTACION,MARTES,11,13,2021,2021,40,1,7,15,DOC_13
IQ,I QUIMICA,VIERNES,11,13,2021,2021,40,1,7,15,DOC_13
CQ,BIO Y FAR,JUEVES,11,13,2021,2021,18,0,7,15,DOC_06
ICA,C GRAFICA,JUEVES,9,11,2021,2021,5,0,7,15,DOC_06
FILO,P INFORMATICA,LUNES,7,9,2021,2021,55,0,7,15,DOC_06
FIGEMPA,MINAS,LUNES,9,11,2021,2021,16,0,7,15,DOC_06
CQ,BIO Y FAR,VIERNES,7,9,2021,2021,65,0,7,15,DOC_06
ICA,S INFORMACION,MARTES,9,11,2021,2021,45,1,7,15,DOC_13
FIGEMPA,AMBIENTAL,VIERNES,9,11,2021,2021,21,1,7,15,DOC_13
ICA,CIVIL,LUNES,11,13,2021,2021,38,1,7,15,DOC_10
ICA,CIVIL,MARTES,15,17,2021,2021,41,1,7,15,DOC_10
FILO,P MATEMATICA,MARTES,16,18,2021,2021,12,1,7,15,DOC_10
ICA,CIVIL,MIERCOLES,15,17,2021,2021,38,1,7,15,DOC_10
ICA,CIVIL,MIERCOLES,18,20,2021,2021,46,1,7,15,DOC_10
CIENCIAS,MATEMATICA,VIERNES,16,18,2021,2021,33,1,7,15,DOC_10
ICA,CIVIL,JUEVES,11,13,2021,2021,45,0,12,20,DOC_07
CQ,QUIMICA,LUNES,18,20,2021,2021,27,0,12,20,DOC_07
FILO,MECATRONICA,MARTES,15,17,2021,2021,18,0,12,20,DOC_07
CQ,BIO Y FAR,MIERCOLES,14,16,2021,2021,53,0,12,20,DOC_07
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2021,44,0,12,20,DOC_07
IQ,I QUIMICA,JUEVES,9,11,2021,2021,42,1,7,15,DOC_12
ICA,CIVIL,LUNES,9,11,2021,2021,51,1,7,15,DOC_12
FILO,P MATEMATICA,MARTES,7,9,2021,2021,28,1,7,15,DOC_12
FILO,MECATRONICA,VIERNES,9,11,2021,2021,45,1,7,15,DOC_12
FILO,P MATEMATICA,JUEVES,16,18,2021,2021,49,0,12,20,DOC_14
ICA,S INFORMACION,MARTES,18,20,2021,2021,40,0,12,20,DOC_14
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2021,40,0,12,20,DOC_14
CQ,QUIMICA,VIERNES,15,17,2021,2021,30,0,12,20,DOC_14
CQ,BIO Y FAR,JUEVES,13,15,2021,2021,52,1,7,15,DOC_11
FILO,P MATEMATICA,MARTES,10,12,2021,2021,33,1,7,15,DOC_11
ARQ,ARQUITECTURA,VIERNES,7,9,2021,2021,28,1,7,15,DOC_11
CQ,QUIMICA,JUEVES,13,15,2021,2021,69,1,7,15,DOC_13
FILO,P MATEMATICA,MARTES,9,11,2021,2021,47,1,7,15,DOC_13
ICA,COMPUTACION,VIERNES,13,15,2021,2021,34,1,7,15,DOC_13
CQ,BIO Y FAR,JUEVES,13,15,2021,2022,58,1,7,15,DOC_02
CQ,BIO Y FAR,LUNES,9,11,2021,2022,59,1,7,15,DOC_02
ICA,COMPUTACION,MIERCOLES,14,16,2021,2022,60,1,7,15,DOC_02
ARQ,ARQUITECTURA,VIERNES,7,9,2021,2022,28,1,7,15,DOC_02
CQ,QUIMICA,VIERNES,9,11,2021,2022,42,1,7,15,DOC_02
CQ,BIO Y FAR,JUEVES,11,13,2021,2022,38,0,7,15,DOC_04
FILO,P MATEMATICA,LUNES,7,9,2021,2022,42,0,7,15,DOC_04
ICA,CIVIL,LUNES,11,13,2021,2022,42,0,7,15,DOC_04
AGR,AGRONOMIA,MARTES,10,12,2021,2022,35,0,7,15,DOC_04
ICA,CIVIL,VIERNES,7,9,2021,2022,39,0,7,15,DOC_04
CIENCIAS,MATEMATICA,VIERNES,11,13,2021,2022,36,0,7,15,DOC_04
CQ,BIO Y FAR,VIERNES,13,15,2021,2022,62,0,7,15,DOC_04
ICA,CIVIL,JUEVES,9,11,2021,2022,39,1,7,15,DOC_09
CQ,BIO Y FAR,MARTES,11,13,2021,2022,25,1,7,15,DOC_09
FILO,P MATEMATICA,MIERCOLES,7,9,2021,2022,54,1,7,15,DOC_09
FIGEMPA,MINAS,MIERCOLES,11,13,2021,2022,20,1,7,15,DOC_09
AGR,AGRONOMIA,VIERNES,10,12,2021,2022,30,1,7,15,DOC_09
FILO,P MATEMATICA,MIERCOLES,7,9,2021,2022,42,1,7,15,DOC_13
FIGEMPA,PETROLEOS,VIERNES,7,9,2021,2022,26,1,7,15,DOC_13
FILO,P MATEMATICA,JUEVES,9,11,2021,2022,40,1,7,15,DOC_12
ARQ,ARQUITECTURA,MARTES,9,11,2021,2022,26,1,7,15,DOC_12
AGR,AGRONOMIA,JUEVES,10,12,2021,2022,32,0,7,15,DOC_06
CQ,QUIMICA,JUEVES,8,10,2021,2022,29,0,7,15,DOC_06
FILO,P INFORMATICA,LUNES,7,9,2021,2022,36,0,7,15,DOC_06
FILO,P MATEMATICA,MARTES,7,9,2021,2022,42,0,7,15,DOC_06
CQ,QUIMICA,MIERCOLES,11,13,2021,2022,54,0,7,15,DOC_06
ICA,INDUSTRIAL,VIERNES,11,13,2021,2022,55,0,7,15,DOC_06
FIGEMPA,MINAS,JUEVES,11,13,2021,2022,6,1,7,15,DOC_13
ICA,CIVIL,LUNES,7,9,2021,2022,40,1,7,15,DOC_13
ARQ,ARQUITECTURA,JUEVES,11,13,2021,2022,28,0,12,20,DOC_03
FILO,P MATEMATICA,JUEVES,16,18,2021,2022,33,0,12,20,DOC_03
ICA,INDUSTRIAL,LUNES,14,16,2021,2022,55,0,12,20,DOC_03
FIGEMPA,GEOLOGIA,MARTES,14,16,2021,2022,21,0,12,20,DOC_03
FILO,P MATEMATICA,MARTES,16,18,2021,2022,47,0,12,20,DOC_03
ICA,CIVIL,MIERCOLES,14,16,2021,2022,40,0,12,20,DOC_03
ICA,CIVIL,LUNES,16,18,2021,2022,40,1,7,15,DOC_10
CIENCIAS,MATEMATICA,MARTES,16,18,2021,2022,16,1,7,15,DOC_10
FIGEMPA,GEOLOGIA,MARTES,14,16,2021,2022,22,1,7,15,DOC_10
ICA,CIVIL,VIERNES,18,20,2021,2022,32,1,7,15,DOC_10
FILO,P INFORMATICA,JUEVES,7,9,2021,2022,41,1,7,15,DOC_08
FILO,P INFORMATICA,LUNES,7,9,2021,2022,39,1,7,15,DOC_08
ARQ,ARQUITECTURA,MARTES,7,9,2021,2022,28,1,7,15,DOC_08
CQ,BIO Y FAR,MIERCOLES,12,14,2021,2022,62,1,7,15,DOC_08
FILO,P INFORMATICA,MIERCOLES,15,18,2021,2022,30,1,7,15,DOC_08
FILO,P INFORMATICA,VIERNES,7,9,2021,2022,39,1,7,15,DOC_08
FILO,P MATEMATICA,JUEVES,16,18,2021,2022,41,0,12,20,DOC_07
FILO,MECATRONICA,JUEVES,18,20,2021,2022,31,0,12,20,DOC_07
CQ,QUIMICA,LUNES,18,20,2021,2022,29,0,12,20,DOC_07
FIGEMPA,PETROLEOS,MARTES,16,18,2021,2022,19,0,12,20,DOC_07
ICA,S INFORMACION,MIERCOLES,14,16,2021,2022,69,0,12,20,DOC_07
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2022,52,0,12,20,DOC_07
CQ,BIO Y FAR,VIERNES,15,17,2021,2022,56,0,12,20,DOC_07
FILO,P INFORMATICA,JUEVES,7,9,2021,2022,40,1,7,15,DOC_11
IQ,I QUIMICA,VIERNES,11,13,2021,2022,53,1,7,15,DOC_11
IQ,I QUIMICA,JUEVES,9,11,2021,2022,37,1,7,15,DOC_12
ICA,INDUSTRIAL,VIERNES,7,9,2021,2022,65,1,7,15,DOC_12
ICA,CIVIL,JUEVES,18,20,2021,2022,40,0,12,20,DOC_14
ICA,S INFORMACION,MARTES,18,20,2021,2022,59,0,12,20,DOC_14
FILO,P MATEMATICA,MIERCOLES,16,18,2021,2022,38,0,12,20,DOC_14
CIENCIAS,MATEMATICA,VIERNES,14,16,2021,2022,18,0,12,20,DOC_14
CQ,BIO Y FAR,JUEVES,13,15,2021,2022,60,0,12,20,DOC_01
